,Features,Features_importance_shapley
22,Notation client région,0.6258436201694565
31,Score interne 1,0.2857338163802354
32,Score interne 2,0.23813578128515817
30,Ville travail différente ville résidence,0.1441845240627432
1,Type contrat,0.1102896997293523
94,Part annuités sur revenu total (%),0.10943887929333809
89,AMT_REQ_CREDIT_BUREAU_QRT,0.10603227483053271
309,Nb jours prise de décision,0.10530364987498715
10,Âge,0.08608550477043739
248,Montant mensuel agence (somme),0.08300666662836051
229,BUREAU_DAYS_CREDIT_ENDDATE_MEAN,0.07936658219504886
483,INSTAL_DAYS_PAST_DUE_SUM,0.07489631217627991
481,Somme maximale dûe,0.0696805748002128
110,Diplôme etude supérieure,0.06694331578764007
489,INSTAL_PAYMENT_PERCENT_VAR,0.06369024005275294
2,Genre,0.05835645436770705
7,Montant crédit,0.05808601708552269
115,Statut marié,0.05482411115841595
232,Retard de paiement (jours),0.053297867408296264
491,INSTAL_PAYMENT_DIFF_MEAN,0.05270244667356828
227,Temps restant crédit (jours),0.05227672856601856
12,Ancienneté client (jours),0.05092249677193627
237,Débit maximal bureau local,0.046094403793131906
88,AMT_REQ_CREDIT_BUREAU_MON,0.04570753705696931
490,INSTAL_PAYMENT_DIFF_MAX,0.044427764084733326
