ID client,Score client (sur 100),y_pred,Âge,Genre,Type contrat,Prédiction crédit
318276,12.1,0,37,Homme,Prêt en espèces,Pas de défaut de paiement
128268,1.34,0,47,Homme,Prêt en espèces,Pas de défaut de paiement
428259,8.41,0,59,Homme,Prêt en espèces,Pas de défaut de paiement
243417,2.26,0,31,Homme,Prêt renouvelable,Pas de défaut de paiement
117098,4.75,0,44,Femme,Prêt en espèces,Pas de défaut de paiement
387135,6.23,0,47,Femme,Prêt en espèces,Pas de défaut de paiement
350391,2.4,0,41,Homme,Prêt en espèces,Pas de défaut de paiement
339404,19.23,0,47,Femme,Prêt en espèces,Pas de défaut de paiement
226286,3.45,0,54,Femme,Prêt en espèces,Pas de défaut de paiement
321391,3.81,0,57,Homme,Prêt en espèces,Pas de défaut de paiement
454820,11.08,0,36,Femme,Prêt en espèces,Pas de défaut de paiement
422653,8.67,0,56,Femme,Prêt en espèces,Pas de défaut de paiement
392676,4.48,0,59,Femme,Prêt en espèces,Pas de défaut de paiement
357008,3.43,0,60,Homme,Prêt en espèces,Pas de défaut de paiement
235262,6.58,0,31,Homme,Prêt renouvelable,Pas de défaut de paiement
154678,8.33,0,50,Homme,Prêt en espèces,Pas de défaut de paiement
176413,21.48,0,62,Femme,Prêt en espèces,Pas de défaut de paiement
335625,9.38,0,24,Homme,Prêt renouvelable,Pas de défaut de paiement
173663,11.35,0,52,Femme,Prêt en espèces,Pas de défaut de paiement
217610,6.0,0,46,Homme,Prêt en espèces,Pas de défaut de paiement
188231,18.82,0,47,Femme,Prêt en espèces,Pas de défaut de paiement
229612,6.55,0,31,Femme,Prêt en espèces,Pas de défaut de paiement
423407,10.63,0,23,Homme,Prêt en espèces,Pas de défaut de paiement
232395,8.69,0,30,Femme,Prêt en espèces,Pas de défaut de paiement
141970,21.99,0,28,Homme,Prêt renouvelable,Pas de défaut de paiement
211650,4.63,0,30,Femme,Prêt en espèces,Pas de défaut de paiement
352232,2.54,0,39,Homme,Prêt en espèces,Pas de défaut de paiement
365713,3.43,0,37,Homme,Prêt en espèces,Pas de défaut de paiement
317724,1.8,0,38,Femme,Prêt en espèces,Pas de défaut de paiement
263427,4.93,0,34,Homme,Prêt en espèces,Pas de défaut de paiement
217100,12.3,0,42,Femme,Prêt en espèces,Pas de défaut de paiement
415056,2.38,0,48,Homme,Prêt en espèces,Pas de défaut de paiement
155970,2.16,0,57,Homme,Prêt renouvelable,Pas de défaut de paiement
298665,3.62,0,62,Homme,Prêt en espèces,Pas de défaut de paiement
220824,4.83,0,37,Homme,Prêt en espèces,Pas de défaut de paiement
221813,1.58,0,44,Homme,Prêt en espèces,Pas de défaut de paiement
361681,8.22,0,30,Homme,Prêt en espèces,Pas de défaut de paiement
367992,3.72,0,50,Homme,Prêt en espèces,Pas de défaut de paiement
116035,15.49,0,47,Femme,Prêt en espèces,Pas de défaut de paiement
359787,5.98,0,32,Femme,Prêt en espèces,Pas de défaut de paiement
121007,32.4,1,31,Femme,Prêt en espèces,Défaut de paiement
201068,14.1,0,32,Femme,Prêt en espèces,Pas de défaut de paiement
266924,7.73,0,45,Homme,Prêt en espèces,Pas de défaut de paiement
378163,16.39,0,38,Femme,Prêt en espèces,Pas de défaut de paiement
455190,12.34,0,44,Femme,Prêt en espèces,Pas de défaut de paiement
299751,4.32,0,65,Homme,Prêt en espèces,Pas de défaut de paiement
387822,9.8,0,36,Femme,Prêt en espèces,Pas de défaut de paiement
102291,5.36,0,58,Femme,Prêt en espèces,Pas de défaut de paiement
440970,7.61,0,44,Femme,Prêt en espèces,Pas de défaut de paiement
280931,3.28,0,61,Homme,Prêt en espèces,Pas de défaut de paiement
356484,4.61,0,56,Femme,Prêt en espèces,Pas de défaut de paiement
284081,13.82,0,52,Femme,Prêt en espèces,Pas de défaut de paiement
116302,3.29,0,39,Femme,Prêt en espèces,Pas de défaut de paiement
261579,8.15,0,62,Femme,Prêt en espèces,Pas de défaut de paiement
177349,1.81,0,65,Homme,Prêt en espèces,Pas de défaut de paiement
177129,63.89,1,33,Femme,Prêt en espèces,Défaut de paiement
310234,1.6,0,54,Femme,Prêt en espèces,Pas de défaut de paiement
197622,3.27,0,35,Femme,Prêt renouvelable,Pas de défaut de paiement
414424,3.66,0,60,Femme,Prêt en espèces,Pas de défaut de paiement
